༢ཁུགས | ཁུག_འདས་པ།_ཐ་མི་དད་པ
བསྲུབས | སྲུབ_འདས་པ།_ཐ་དད་པ+སྲུབ_འདས་པ།_###
བསྲུལ | སྲུལ_མ་འོངས་པ།_ཐ་དད་པ+སྲུལ_འདས་པ།_ཐ་དད་པ
བསྲེ | སྲེ_མ་འོངས་པ།_ཐ་དད་པ
བསྲེག | སྲེག_མ་འོངས་པ།_###+སྲེག_མ་འོངས་པ།_ཐ་དད་པ
བསྲེགས | སྲེག_འདས་པ།_ཐ་དད་པ+སྲེག_འདས་པ།_###
བསྲེལ | སྲེལ_མ་འོངས་པ།_ཐ་དད་པ+སྲེལ_འདས་པ།_ཐ་དད་པ
བསྲེས | སྲེ_འདས་པ།_ཐ་དད་པ
བསྲོ | སྲོ_མ་འོངས་པ།_ཐ་དད་པ
བསྲོས | སྲོ_འདས་པ།_ཐ་དད་པ
བསླ | སླ_མ་འོངས་པ།_ཐ་དད་པ
བསླང | སློང_མ་འོངས་པ།_ཐ་དད་པ+སློང_མ་འོངས་པ།_###
བསླངས | སློང_འདས་པ།_ཐ་དད་པ+སློང_འདས་པ།_###
བསླད | སློད_འདས་པ།_ཐ་དད་པ+སློད_མ་འོངས་པ།_ཐ་དད་པ+སློད_མ་འོངས་པ།_###+སློད_འདས་པ།_###
བསླན | སློན_འདས་པ།_ཐ་དད་པ+སློན_མ་འོངས་པ།_###+སློན_མ་འོངས་པ།_ཐ་དད་པ+སློན_འདས་པ།_###
བསླབ | སློབ_མ་འོངས་པ།_ཐ་དད་པ
བསླབས | སློབ_འདས་པ།_ཐ་དད་པ
བསླས | སླ_འདས་པ།_ཐ་དད་པ
བསླུ | སླུ_མ་འོངས་པ།_ཐ་དད་པ
བསླུས | སླུ_འདས་པ།_ཐ་དད་པ
བསླེ | སླེ_མ་འོངས་པ།_ཐ་དད་པ
བསླེབ | བྱ་ཚིག_ཐ་མི་དད་པ
བསླེབས | བྱ་ཚིག_###
བསླེས | སླེ_འདས་པ།_ཐ་དད་པ
བསློག | སློག_མ་འོངས་པ།_###+སློག_མ་འོངས་པ།_ཐ་དད་པ
བསློགས | སློག_འདས་པ།_ཐ་དད་པ+སློག_འདས་པ།_###
བུད | འབུད_འདས་པ།_ཐ་མི་དད་པ+འབུད_སྐུལ་ཚིག_ཐ་མི་དད་པ
བུབ | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
བུས | འབུད_འདས་པ།_ཐ་དད་པ+འབུད_སྐུལ་ཚིག_ཐ་དད་པ+འབུད_སྐུལ་ཚིག_###+འབུད_འདས་པ།_###
བེམ | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
བོག | བྱ་ཚིག_ཐ་མི་དད་པ
བོབས | འབབ_སྐུལ་ཚིག_ཐ་མི་དད་པ
བོར | འབོར_འདས་པ།_###+འབོར_འདས་པ།_ཐ་མི་དད་པ+འབོར_སྐུལ་ཚིག_ཐ་མི་དད་པ
བོལ | འབལ_སྐུལ་ཚིག_ཐ་དད་པ
བོས | འབོད_སྐུལ་ཚིག_###+འབོད_འདས་པ།_###
བྱ | བྱེད_མ་འོངས་པ།_ཐ་དད་པ
བྱང | འབྱང_འདས་པ།_ཐ་མི་དད་པ+གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ+བྱ་ཚིག_###+འབྱང_འདས་པ།_###
བྱབ | བྱབ_མ་འོངས་པ།_ཐ་དད་པ+བྱབ_ད་ལྟ་བ།_ཐ་དད་པ+བྱབ_ད་ལྟ་བ།_###+བྱབ_མ་འོངས་པ།_###
བྱབས | བྱབ_འདས་པ།_ཐ་དད་པ+བྱབ_འདས་པ།_###
བྱམས | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
བྱས | བྱེད_འདས་པ།_ཐ་དད་པ
བྱི | འབྱི_འདས་པ།_ཐ་མི་དད་པ
བྱིང | འབྱིང_འདས་པ།_ཐ་མི་དད་པ
བྱིངས | འབྱིང_འདས་པ།_###
བྱིད | འབྱིད_འདས་པ།_ཐ་མི་དད་པ+བྱ་ཚིག_###
བྱིན | སྦྱིན_སྐུལ་ཚིག_ཐ་དད་པ+སྦྱིན_འདས་པ།_ཐ་དད་པ
བྱིབས | འབྱིབ_སྐུལ་ཚིག_ཐ་དད་པ+འབྱིབ_འདས་པ།_ཐ་དད་པ
བྱིལ | གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ+འབྱིལ_འདས་པ།_ཐ་མི་དད་པ
བྱུག | འབྱུག_མ་འོངས་པ།_ཐ་དད་པ
བྱུགས | གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ+འབྱུག_སྐུལ་ཚིག_ཐ་དད་པ+འབྱུག_འདས་པ།_ཐ་དད་པ
བྱུང | འབྱུང_འདས་པ།_ཐ་མི་དད་པ
བྱེ | འབྱེ_འདས་པ།_ཐ་དད་པ
བྱེད | བྱེད_ད་ལྟ་བ།_ཐ་དད་པ
བྱེར | འབྱེར_འདས་པ།_###+འབྱེར_སྐུལ་ཚིག_ཐ་མི་དད་པ+འབྱེར_འདས་པ།_ཐ་མི་དད་པ
བྱེས | འབྱེ_སྐུལ་ཚིག_ཐ་དད་པ
བྱོ | འབྱོ_སྐུལ་ཚིག_ཐ་དད་པ+འབྱོ_འདས་པ།_ཐ་དད་པ
བྱོང | འབྱང_སྐུལ་ཚིག_###
བྱོན | འབྱོན_སྐུལ་ཚིག_ཐ་དད་པ+འབྱོན_འདས་པ།_ཐ་དད་པ
བྱོབས | བྱབ_སྐུལ་ཚིག_###+བྱབ_སྐུལ་ཚིག_ཐ་དད་པ
བྱོལ | འབྱོལ_འདས་པ།_ཐ་མི་དད་པ+འབྱོལ_སྐུལ་ཚིག_ཐ་མི་དད་པ+འབྱོལ_མ་འོངས་པ།_ཐ་མི་དད་པ
བྱོས | བྱེད_སྐུལ་ཚིག_ཐ་དད་པ
བྲད | འབྲད_འདས་པ།_ཐ་དད་པ+འབྲད_འདས་པ།_###
བྲན | འབྲན_མ་འོངས་པ།_ཐ་དད་པ+འབྲན_འདས་པ།_ཐ་དད་པ
བྲབ | འབྲབ_མ་འོངས་པ།_ཐ་དད་པ
བྲབས | འབྲབ_འདས་པ།_ཐ་དད་པ
བྲལ | འབྲལ_འདས་པ།_ཐ་མི་དད་པ
བྲི | འབྲི_འདས་པ།_ཐ་མི་དད་པ+འབྲི_མ་འོངས་པ།_ཐ་དད་པ+འབྲི_མ་འོངས་པ།_ཐ་མི་དད་པ
བྲིད | འབྲིད_སྐུལ་ཚིག_ཐ་དད་པ+འབྲིད_འདས་པ།_ཐ་དད་པ
བྲིན | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
བྲིམ | འབྲིམ_མ་འོངས་པ།_ཐ་དད་པ
བྲིམས | འབྲིམ_སྐུལ་ཚིག_ཐ་དད་པ
བྲིས | འབྲི_འདས་པ།_ཐ་དད་པ
བྲུ | འབྲུ_མ་འོངས་པ།_ཐ་དད་པ+འབྲུ_མ་འོངས་པ།_###
བྲུག | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
བྲུབ | བྱ་ཚིག_ཐ་དད་པ
བྲུབས | འབྲུབ_སྐུལ་ཚིག_ཐ་དད་པ+འབྲུབ_འདས་པ།_ཐ་དད་པ
བྲུལ | འབྲུལ_འདས་པ།_ཐ་མི་དད་པ
བྲུས | འབྲུ_འདས་པ།_ཐ་དད་པ+འབྲུ_སྐུལ་ཚིག_ཐ་དད་པ+འབྲུ_སྐུལ་ཚིག_###+འབྲུ_འདས་པ།_###
བྲེ | བྲེ_ད་ལྟ་བ།_ཐ་དད་པ+བྲེ_མ་འོངས་པ།_ཐ་དད་པ
བྲེག | འབྲེག_མ་འོངས་པ།_ཐ་དད་པ
བྲེགས | འབྲེག_འདས་པ།_ཐ་དད་པ
བྲེད | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
བྲེས | བྲེ_སྐུལ་ཚིག_ཐ་དད་པ+འབྲ_སྐུལ་ཚིག_ཐ་དད་པ+བྲེ_འདས་པ།_ཐ་དད་པ+འབྲ_འདས་པ།_ཐ་དད་པ
བྲོ | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ+བྱ་ཚིག_###
བྲོགས | འབྲེག_སྐུལ་ཚིག_ཐ་དད་པ
བྲོད | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
བྲོན | འབྲན_སྐུལ་ཚིག_ཐ་དད་པ
བྲོབས | འབྲབ_སྐུལ་ཚིག_ཐ་དད་པ+བྱ་ཚིག_ཐ་དད་པ
བྲོས | འབྲོ_འདས་པ།_ཐ་མི་དད་པ+འབྲོ_སྐུལ་ཚིག_ཐ་མི་དད་པ
བླག | བླག_མ་འོངས་པ།_ཐ་དད་པ+བླག_ད་ལྟ་བ།_ཐ་དད་པ
བླགས | བླག_འདས་པ།_ཐ་དད་པ
བླང | ལེན_མ་འོངས་པ།_ཐ་དད་པ+ལེན_མ་འོངས་པ།_###
བླངས | ལེན_འདས་པ།_###+ལེན_འདས་པ།_ཐ་དད་པ
བླད | བློད_འདས་པ།_###+བློད_མ་འོངས་པ།_ཐ་དད་པ+བློད_མ་འོངས་པ།_###
བླད༢སྐུལཚིག | བློད_འདས་པ།_ཐ་དད་པ
བླུ | བླུ_ད་ལྟ་བ།_ཐ་དད་པ+བླུ_མ་འོངས་པ།_ཐ་དད་པ
བླུག | བླུག_ད་ལྟ་བ།_ཐ་དད་པ+བླུག_མ་འོངས་པ།_ཐ་དད་པ
བླུགས | བླུག_སྐུལ་ཚིག_ཐ་དད་པ+བླུག_འདས་པ།_ཐ་དད་པ
བླུད | ལྡུད_སྐུལ་ཚིག_ཐ་དད་པ+ལྡུད_འདས་པ།_ཐ་དད་པ
བླུས | བླུ_འདས་པ།_ཐ་དད་པ+བླུ_སྐུལ་ཚིག_ཐ་དད་པ
བློག | བྱ་ཚིག_ཐ་དད་པ
བློགས | བླག_སྐུལ་ཚིག_ཐ་དད་པ
བློད | བློད_ད་ལྟ་བ།_ཐ་དད་པ+བློད_སྐུལ་ཚིག_###+བློད_ད་ལྟ་བ།_###
མཁས | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
མཁུ | བྱ་ཚིག_###
མཁུན | བྱ་ཚིག_###
མཁོན | བྱ་ཚིག_ཐ་དད་པ
མཁྱུད | གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ
མཁྱེན | གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ
མགར | མགར_འདས་པ།_ཐ་དད་པ+མགར_ད་ལྟ་བ།_ཐ་དད་པ+མགར_མ་འོངས་པ།_ཐ་དད་པ
མགུ | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
མགོར | མགར_སྐུལ་ཚིག_ཐ་དད་པ
མངག | མངག_མ་འོངས་པ།_ཐ་དད་པ+མངག_ད་ལྟ་བ།_ཐ་དད་པ
མངགས | མངག_འདས་པ།_ཐ་དད་པ
མངལ | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
མངོགས | མངག_སྐུལ་ཚིག_ཐ་དད་པ
མངོན | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
མཆི | མཆི_ད་ལྟ་བ།_ཐ་མི་དད་པ+མཆི_མ་འོངས་པ།_ཐ་མི་དད་པ
མཆིད | གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ
མཆིས | མཆི_འདས་པ།_ཐ་མི་དད་པ
མཆེད | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
མཆོང | མཆོང_མ་འོངས་པ།_ཐ་མི་དད་པ+མཆོང_ད་ལྟ་བ།_ཐ་མི་དད་པ
མཆོངས | མཆོང_འདས་པ།_ཐ་མི་དད་པ+མཆོང_སྐུལ་ཚིག_ཐ་མི་དད་པ
མཆོད | གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ+བྱ་ཚིག_###
མཆོར | གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ
མཇལ | མཇལ_མ་འོངས་པ།_ཐ་དད་པ+གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ+མཇལ_ད་ལྟ་བ།_ཐ་དད་པ+མཇལ_འདས་པ།_ཐ་དད་པ
མཇེད | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
མཇོལ | མཇལ_སྐུལ་ཚིག_ཐ་དད་པ
མཉན | ཉན_མ་འོངས་པ།_ཐ་དད་པ+ཉན_འདས་པ།_ཐ་དད་པ
མཉམ | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
མཉེ | ཉེད_མ་འོངས་པ།_ཐ་དད་པ
མཉེད | བྱ་ཚིག_ཐ་དད་པ
མཉེལ | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
མཉེས | ཉེད_འདས་པ།_ཐ་དད་པ+ཉེད_སྐུལ་ཚིག_ཐ་དད་པ+གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
མཐུད | གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ
མཐུན | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
མཐོང | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ+བྱ་ཚིག_###
མཐོལ | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
མདུད | གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ
མནག | མནག_མ་འོངས་པ།_ཐ་དད་པ+མནག_ད་ལྟ་བ།_ཐ་དད་པ
མནགས | མནག_འདས་པ།_ཐ་དད་པ
མནན | གནོན_འདས་པ།_ཐ་དད་པ+གནོན_མ་འོངས་པ།_ཐ་དད་པ
མནབ | ནབ_མ་འོངས་པ།_ཐ་དད་པ
མནབས | ནབ_འདས་པ།_ཐ་དད་པ
མནམ | ནོམ_མ་འོངས་པ།_ཐ་མི་དད་པ+ནོམ_མ་འོངས་པ།_ཐ་དད་པ+ནོམ_མ་འོངས་པ།_###
མནམས | ནོམ_འདས་པ།_###+ནོམ_འདས་པ།_ཐ་མི་དད་པ+ནོམ_འདས་པ།_ཐ་དད་པ
མནར | གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ+བྱ་ཚིག_###
མནལ | མནལ_འདས་པ།_ཐ་མི་དད་པ+མནལ_ད་ལྟ་བ།_ཐ་མི་དད་པ+མནལ_མ་འོངས་པ།_ཐ་མི་དད་པ
མནོ | མནོ_ད་ལྟ་བ།_###+མནོ_མ་འོངས།_ཐ་དད་པ+མནོ_མ་འོངས་པ།_###+མནོ_ད་ལྟ་བ།_ཐ་དད་པ
མནོགས | མནག_སྐུལ་ཚིག_ཐ་དད་པ
མནོང | བྱ་ཚིག_ཐ་མི་དད་པ
མནོད | ནོད_མ་འོངས་པ།_ཐ་དད་པ
མནོལ | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ+མནལ_སྐུལ་ཚིག_ཐ་མི་དད་པ
མནོས | མནོ_འདས་པ།_ཐ་དད་པ+མནོ_འདས་པ།_###+ནོད_འདས་པ།_ཐ་དད་པ+མནོ_སྐུལ་ཚིག_###+མནོ_སྐུལ་ཚིག_ཐ་དད་པ
མཛད | མཛད_འདས་པ།_ཐ་དད་པ+མཛད_ད་ལྟ་བ།_ཐ་དད་པ+མཛད_མ་འོངས་པ།_ཐ་དད་པ
མཛོད | མཛད_སྐུལ་ཚིག_ཐ་དད་པ
མིད | གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ
མུག | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ+བྱ་ཚིག_###
མུར | གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ
མེསྒོང | སྒོང_ད་ལྟ་བ།_###+སྒོང_ད་ལྟ་བ།_ཐ་དད་པ
མོལ | གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ+བྱ་ཚིག_###
མོས | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ+བྱ་ཚིག_###
མྱགས | གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ+བྱ་ཚིག_###
མྱང | མྱོང_མ་འོངས་པ།_ཐ་དད་པ+མྱོང_མ་འོངས་པ།_ཐ་མི་དད་པ
མྱངས | མྱོང_འདས་པ།_ཐ་མི་དད་པ+མྱོང_འདས་པ།_ཐ་དད་པ
མྱིད | གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ
མྱུག | མྱུག_མ་འོངས་པ།_###+གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ+མྱུག_ད་ལྟ་བ།_###
མྱུགས | མྱུག_སྐུལ་ཚིག_###+མྱུག_འདས་པ།_###
མྱུལ | གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ+བྱ་ཚིག_###
མྱོང | མྱོང_ད་ལྟ་བ།_ཐ་དད་པ+མྱོང_ད་ལྟ་བ།_ཐ་མི་དད་པ
མྱོངས | མྱོང_སྐུལ་ཚིག_ཐ་དད་པ
མྱོས | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
ཚགས | གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ
ཚང | འཚང_འདས་པ།_###+གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
ཚད | ཚད_མ་འོངས་པ།_ཐ་དད་པ+ཚད_འདས་པ།_###+ཚད_མ་འོངས་པ།_###+ཚད_འདས་པ།_ཐ་དད་པ+ཚད_ད་ལྟ་བ།_ཐ་དད་པ+ཚད_ད་ལྟ་བ།_###
ཚར | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
ཚིག | འཚིག_འདས་པ།_###+འཚིག_འདས་པ།_ཐ་མི་དད་པ
ཚིམ | ཚིམ_མ་འོངས་པ།_ཐ་མི་དད་པ+ཚིམ_ད་ལྟ་བ།_ཐ་མི་དད་པ
ཚིམས | ཚིམ_འདས་པ།_ཐ་མི་དད་པ
ཚིར | འཚིར_སྐུལ་ཚིག_ཐ་དད་པ
ཚུགས | འཛུད_སྐུལ་ཚིག_ཐ་དད་པ+འཛུགས_སྐུལ་ཚིག_ཐ་དད་པ+གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ+འཛུགས_སྐུལ་ཚིག_###
ཚུད | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ+འཚུད_འདས་པ།_ཐ་མི་དད་པ
ཚུམས | འཚུམ_སྐུལ་ཚིག_ཐ་དད་པ
ཚེམ | བྱ་ཚིག_ཐ་དད་པ
ཚེམས | འཚེམ_སྐུལ་ཚིག_ཐ་དད་པ
ཚེས | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
ཚོག | འཚོག_སྐུལ་ཚིག_ཐ་དད་པ+འཚག_སྐུལ་ཚིག_ཐ་དད་པ
ཚོགས | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
ཚོངས | འཚང_སྐུལ་ཚིག_ཐ་དད་པ+འཚོང_སྐུལ་ཚིག_ཐ་དད་པ
ཚོད | ཚད_སྐུལ་ཚིག_ཐ་དད་པ+ཚད_སྐུལ་ཚིག_###
ཚོབས | འཚབ_སྐུལ་ཚིག_ཐ་དད་པ+འཚོབ_འདས་པ།_ཐ་མི་དད་པ
ཚོམ | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
ཚོར | གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ
ཚོས | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ+འཚོད_སྐུལ་ཚིག_###+འཚོད_སྐུལ་ཚིག_ཐ་དད་པ
ཞ | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ+བྱ་ཚིག_###
ཞར | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
ཞལ | གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ
ཞི | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
ཞིག | འཇིག_འདས་པ།_ཐ་མི་དད་པ
ཞིབ | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ+བྱ་ཚིག_###
ཞིལ | གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ+གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
ཞུ | འཇུ_འདས་པ།_ཐ་མི་དད་པ+གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ+ཞུ_མ་འོངས་པ།_ཐ་དད་པ+ཞུ_ད་ལྟ་བ།_ཐ་དད་པ
ཞུགས | འཇུག_འདས་པ།_ཐ་མི་དད་པ+གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
ཞུམ | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
ཞུས | བཟར_སྐུལ་ཚིག_ཐ་དད་པ+ཞུ_སྐུལ་ཚིག_ཐ་དད་པ+བཞུ_སྐུལ་ཚིག_ཐ་དད་པ+ཞུ_འདས་པ།_ཐ་དད་པ
ཞེད | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
ཞེན | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
ཞོག | འཇོག_སྐུལ་ཚིག_ཐ་དད་པ+གཞོག_སྐུལ་ཚིག_ཐ་དད་པ+འཇོག_སྐུལ་ཚིག_###
ཞོགས | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
ཞོན | ཞོན_སྐུལ་ཚིག_ཐ་དད་པ+ཞོན_ད་ལྟ་བ།_ཐ་དད་པ
ཞོམ | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
ཞོས | འཇོ_སྐུལ་ཚིག_ཐ་དད་པ
ཟ | ཟ_མ་འོངས་པ།_###+ཟ_ད་ལྟ་བ།_###+ཟ_ད་ལྟ་བ།_ཐ་མི་དད་པ+ཟ_ད་ལྟ་བ།_ཐ་དད་པ+ཟ_མ་འོངས་པ།_ཐ་མི་དད་པ
ཟག | ཟག_ད་ལྟ་བ།_###+ཟག_ད་ལྟ་བ།_ཐ་མི་དད་པ+ཟག_མ་འོངས་པ།_###+ཟག_མ་འོངས་པ།_ཐ་མི་དད་པ
ཟགས | ཟག_འདས་པ།_ཐ་མི་དད་པ+ཟག_འདས་པ།_###+འཛག_འདས་པ།_ཐ་མི་དད་པ
ཟད | འཛད_འདས་པ།_ཐ་མི་དད་པ
ཟིན | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ+བྱ་ཚིག_###
ཟུག | གཟུགས་མི་འགྱུར་བ_###+བྱ་ཚིག_###
ཟུང | འཛིན_སྐུལ་ཚིག_###+འཛིན_སྐུལ་ཚིག_ཐ་དད་པ
ཟུམ | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ+བྱ་ཚིག_ཐ་དད་པ
ཟུར | འཛུར_སྐུལ་ཚིག_ཐ་མི་དད་པ
ཟེགས | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ+བྱ་ཚིག_###
ཟེད | འཛེད_སྐུལ་ཚིག_ཐ་དད་པ
ཟེམ | བྱ་ཚིག_ཐ་དད་པ
ཟེར | གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ
ཟོ | ཟ_སྐུལ་ཚིག_ཐ་དད་པ
ཟོས | ཟ_འདས་པ།_ཐ་མི་དད་པ+ཟ_འདས་པ།_###+འཛའ_འདས་པ།_ཐ་མི་དད་པ+བྱ་ཚིག_ཐ་མི་དད་པ
ཟླུག | ཟླུམ_ད་ལྟ་བ།_ཐ་དད་པ+ཟླུག_ད་ལྟ་བ།_ཐ་དད་པ+བྱ་ཚིག_###
ཟླུགས | ཟླུག_སྐུལ་ཚིག_ཐ་དད་པ+ཟླུམ_སྐུལ་ཚིག_ཐ་དད་པ
ཟློ | ཟློ_ད་ལྟ་བ།_ཐ་དད་པ+ཟློ_ད་ལྟ་བ།_###
ཟློག | ཟློག_ད་ལྟ་བ།_###+ཟློག_ད་ལྟ་བ།_ཐ་དད་པ
ཟློགས | ཟློག_སྐུལ་ཚིག_###+ཟློག_སྐུལ་ཚིག_ཐ་དད་པ
ཟློས | ཟློ_སྐུལ་ཚིག_###+ཟློ_སྐུལ་ཚིག_ཐ་དད་པ+ཟློ_འདས་པ།_###
འཁང | འཁང_ད་ལྟ་བ།_ཐ་མི་དད་པ+འཁང_མ་འོངས་པ།_ཐ་མི་དད་པ
འཁངས | འཁང_འདས་པ།_ཐ་མི་དད་པ
འཁལ | བྱ་ཚིག_ཐ་དད་པ
འཁུ | འཁུ_མ་འོངས་པ།_ཐ་མི་དད་པ+འཁུ_ད་ལྟ་བ།_ཐ་མི་དད་པ
འཁུན | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
འཁུམ | འཁུམ_ད་ལྟ་བ།_ཐ་མི་དད་པ+འཁུམ_མ་འོངས་པ།_ཐ་དད་པ+འཁུམ_ད་ལྟ་བ།_ཐ་དད་པ+འཁུམ_མ་འོངས་པ།_ཐ་མི་དད་པ
འཁུམས | འཁུམ_འདས་པ།_ཐ་དད་པ+འཁུམ_འདས་པ།_ཐ་མི་དད་པ
འཁུར | འཁུར_ད་ལྟ་བ།_ཐ་དད་པ+འཁུར_མ་འོངས་པ།_ཐ་དད་པ
འཁུས | འཁུ_སྐུལ་ཚིག_ཐ་མི་དད་པ+འཁུ_འདས་པ།_ཐ་མི་དད་པ
འཁེགས | བྱ་ཚིག_ཐ་མི་དད་པ
འཁེང | འཁེང_ད་ལྟ་བ།_ཐ་མི་དད་པ+འཁེང_མ་འོངས་པ།_ཐ་མི་དད་པ
འཁེངས | འཁེང_འདས་པ།_ཐ་མི་དད་པ
འཁེབ | བྱ་ཚིག_###
འཁེལ | འཁེལ_ད་ལྟ་བ།_ཐ་དད་པ+འཁེལ_ད་ལྟ་བ།_###+འཁེལ_མ་འོངས་པ།_###+འགེལ_ད་ལྟ་བ།_###
འཁོད | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
འཁོན | འཁོན_ད་ལྟ་བ།_ཐ་མི་དད་པ+འཁོན_ད་ལྟ་བ།_ཐ་དད་པ+འཁོན_སྐུལ་ཚིག_ཐ་དད་པ
འཁོབ | འཁོབ_ད་ལྟ་བ།_ཐ་མི་དད་པ+འཁོབ_མ་འོངས་པ།_ཐ་མི་དད་པ
འཁོབས | འཁོབ_འདས་པ།_ཐ་མི་དད་པ
འཁོར | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ+བྱ་ཚིག_###
འཁོལ | འཁོལ_ད་ལྟ་བ།_ཐ་དད་པ+འཁོལ_ད་ལྟ་བ།_###+ཁོལ_མ་འོངས་པ།_ཐ་མི་དད་པ
འཁྱག | འཁྱག_ད་ལྟ་བ།_ཐ་མི་དད་པ+འཁྱག_མ་འོངས་པ།_ཐ་མི་དད་པ
འཁྱགས | འཁྱག_འདས་པ།_ཐ་མི་དད་པ
འཁྱམ | འཁྱམ_མ་འོངས་པ།_ཐ་མི་དད་པ+འཁྱམ_ད་ལྟ་བ།_ཐ་མི་དད་པ
འཁྱམས | འཁྱམ_འདས་པ།_ཐ་མི་དད་པ
འཁྱར | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ+བྱ་ཚིག_###
འཁྱལ | འཁྱལ_ད་ལྟ་བ།_ཐ་མི་དད་པ+བྱ་ཚིག_###
འཁྱིག | འཁྱིག_ད་ལྟ་བ།_ཐ་དད་པ+འཁྱིག_ད་ལྟ་བ།_###+འཁྱིག_མ་འོངས་པ།_###
འཁྱིགས | འཁྱིག_འདས་པ།_###
འཁྱིམས | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ+བྱ་ཚིག_###
འཁྱིར | གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ
