ཀུམ | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ+བྱ་ཚིག_###
འཆབ | བཅབ_ད་ལྟ་བ།_ཐ་དད་པ+བཅབས_ད་ལྟ་བ།_ཐ་དད་པ+ཆོབས_ད་ལྟ་བ།_ཐ་དད་པ+འཆོབས_མ་འོངས་པ།_ཐ་དད་པ+འཆོབས_ད་ལྟ་བ།_ཐ་དད་པ+འཆབ_ད་ལྟ་བ།_ཐ་དད་པ
འཆབས | འཆོབས_འདས་པ།_ཐ་དད་པ
འཆམ | འཆམས_ད་ལྟ་བ།_ཐ་དད་པ+འཆམ_ད་ལྟ་བ།_ཐ་དད་པ+འཆམ_ད་ལྟ་བ།_ཐ་མི་དད་པ+འཆམས_ད་ལྟ་བ།_ཐ་མི་དད་པ+འཆམས_མ་འོངས་པ།_ཐ་མི་དད་པ+འཆོམས_ད་ལྟ་བ།_ཐ་དད་པ+འཆོམས_མ་འོངས་པ།_ཐ་དད་པ+འཆམ_མ་འོངས་པ།_ཐ་དད་པ+འཆམས_མ་འོངས་པ།_ཐ་དད་པ+འཆམ_མ་འོངས་པ།_ཐ་མི་དད་པ
འཆམས | འཆོམས_འདས་པ།_ཐ་དད་པ+འཆམས_འདས་པ།_ཐ་མི་དད་པ+འཆམས_འདས་པ།_ཐ་དད་པ+འཆམ_འདས་པ།_ཐ་དད་པ+འཆམ_འདས་པ།_ཐ་མི་དད་པ
འཆའ | བཅས_ད་ལྟ་བ།_ཐ་མི་དད་པ+བཅའ_ད་ལྟ་བ།_ཐ་དད་པ+འཆའ_ད་ལྟ་བ།_###+འཆའ_མ་འོངས་པ།_###+འཆའ_ད་ལྟ་བ།_ཐ་མི་དད་པ+འཆོས_ད་ལྟ་བ།_###+ཆོས_ད་ལྟ་བ།_ཐ་མི་དད་པ+བཅས_ད་ལྟ་བ།_ཐ་དད་པ+འཆོས_མ་འོངས་པ།_###+འཆའ_ད་ལྟ་བ།_ཐ་དད་པ+ཆོས_ད་ལྟ་བ།_###
འཆར | ཤར_ད་ལྟ་བ།_ཐ་མི་དད་པ+ཤར_མ་འོངས་པ།_ཐ་མི་དད་པ+འཆར_ད་ལྟ་བ།_ཐ་མི་དད་པ+འཆར_མ་འོངས་པ།_###+འཆར_མ་འོངས་པ།_ཐ་མི་དད་པ+འཆར_ད་ལྟ་བ།_###
འཆལ | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ+བྱ་ཚིག_###
འཆི | ཤི_མ་འོངས་པ།_ཐ་མི་དད་པ+ཤི_ད་ལྟ་བ།_ཐ་མི་དད་པ+འཆི_ད་ལྟ་བ།_ཐ་མི་དད་པ+འཆི_ད་ལྟ་བ།_###+འཆི_མ་འོངས་པ།_ཐ་མི་དད་པ+འཆི_མ་འོངས་པ།_###
འཆིང | བཅིངས_ད་ལྟ་བ།_ཐ་དད་པ+ཆིངས_ད་ལྟ་བ།_ཐ་དད་པ+འཆིང_ད་ལྟ་བ།_ཐ་དད་པ+བཅིང_ད་ལྟ་བ།_ཐ་དད་པ
འཆིབ | འཆིབ_ད་ལྟ་བ།_ཐ་དད་པ+བཅིབས_ད་ལྟ་བ།_ཐ་དད་པ+བཅིབ_ད་ལྟ་བ།_ཐ་དད་པ+ཆིབས_ད་ལྟ་བ།_ཐ་དད་པ
འཆིར | འཆིར_ད་ལྟ་བ།_###+གཅིར_ད་ལྟ་བ།_ཐ་དད་པ+ཆིར_ད་ལྟ་བ།_ཐ་དད་པ+བཅིར_ད་ལྟ་བ།_ཐ་དད་པ+འཆིར_ད་ལྟ་བ།_ཐ་དད་པ
འཆུ | འཆུ_ད་ལྟ་བ།_ཐ་མི་དད་པ+འཆུ_མ་འོངས་པ།_###+འཆུས_ད་ལྟ་བ།_ཐ་དད་པ+བཅུས_ད་ལྟ་བ།_ཐ་དད་པ+ཆུས_ད་ལྟ་བ།_ཐ་དད་པ+བཅུ_ད་ལྟ་བ།_ཐ་དད་པ+འཆུ_མ་འོངས་པ།_ཐ་མི་དད་པ+འཆུས_མ་འོངས་པ།_ཐ་མི་དད་པ+འཆུ_ད་ལྟ་བ།_###+འཆུ_ད་ལྟ་བ།_ཐ་དད་པ+འཆུས_ད་ལྟ་བ།_ཐ་མི་དད་པ
འཆུག | འཆུགས_མ་འོངས་པ།_ཐ་མི་དད་པ+འཆུག_མ་འོངས་པ།_ཐ་མི་དད་པ+འཆུགས_ད་ལྟ་བ།_ཐ་མི་དད་པ+འཆུག_ད་ལྟ་བ།_ཐ་མི་དད་པ
འཆུགས | འཆུགས_འདས་པ།_ཐ་མི་དད་པ+འཆུག_འདས་པ།_ཐ་མི་དད་པ
འཆུན | འཆུན_ད་ལྟ་བ།_ཐ་དད་པ+འཇུན_འབྲི་ཚུལ+བྱ་ཚིག_###
འཆུམ | འཆུམ_ད་ལྟ་བ།_ཐ་དད་པ+འཆུམ_མ་འོངས་པ།_ཐ་དད་པ+འཆུམ_ད་ལྟ་བ།_###+འཆུམ_མ་འོངས་པ།_###+འཆུམ_ད་ལྟ་བ།_ཐ་མི་དད་པ+འཆུམ_མ་འོངས་པ།_ཐ་མི་དད་པ+འཆུམས_ད་ལྟ་བ།_ཐ་མི་དད་པ+འཆུམས_མ་འོངས་པ།_ཐ་མི་དད་པ+འཆུམས_མ་འོངས་པ།_ཐ་དད་པ+འཆུམས_ད་ལྟ་བ།_ཐ་དད་པ
འཆུམས | འཆུམ_འདས་པ།_ཐ་དད་པ+འཆུམས_འདས་པ།_ཐ་དད་པ+འཆུམ_འདས་པ།_###+འཆུམ_འདས་པ།_ཐ་མི་དད་པ+འཆུམས_འདས་པ།_ཐ་མི་དད་པ+འཆུམས_སྐུལ་ཚིག_ཐ་དད་པ+འཆུམ_སྐུལ་ཚིག_ཐ་དད་པ
འཆུས | འཆུ_འདས་པ།_ཐ་མི་དད་པ+འཆུས_འདས་པ།_ཐ་མི་དད་པ+འཆུ_འདས་པ།_###+འཆུས_འདས་པ།_ཐ་དད་པ
འཆེ | འཆེ_མ་འོངས་པ།_ཐ་དད་པ+འཆེས_མ་འོངས་པ།_ཐ་དད་པ+འཆེ_ད་ལྟ་བ།_ཐ་དད་པ+འཆེས_ད་ལྟ་བ།_ཐ་དད་པ
འཆེག | བྱ་ཚིག_ཐ་དད་པ
འཆེལ | གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ+བྱ་ཚིག_###
འཆེས | འཆེས_སྐུལ་ཚིག_ཐ་དད་པ+འཆེས_འདས་པ།_ཐ་དད་པ+འཆེ_སྐུལ་ཚིག_ཐ་དད་པ+འཆེ_འདས་པ།_ཐ་དད་པ
འཆོ | བྱ་ཚིག_ཐ་དད་པ+འཆོས_འབྲི་ཚུལ
འཆོགས | འཆོགས_སྐུལ་ཚིག_ཐ་དད་པ
འཆོབས | འཆོབས_སྐུལ་ཚིག_ཐ་དད་པ
འཆོམས | འཆམ_སྐུལ་ཚིག_ཐ་དད་པ+འཆམས_སྐུལ་ཚིག_ཐ་དད་པ+འཆོམས_སྐུལ་ཚིག_ཐ་དད་པ
འཆོར | འཆོར_ད་ལྟ་བ།_###+འཆོར_མ་འོངས་པ།_ཐ་མི་དད་པ+ཤོར_མ་འོངས་པ།_ཐ་མི་དད་པ+འཆོར_མ་འོངས་པ།_###+ཤོར_ད་ལྟ་བ།_ཐ་མི་དད་པ+འཆོར_ད་ལྟ་བ།_ཐ་མི་དད་པ
འཆོལ | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ+ཆོལ_ད་ལྟ་བ།_ཐ་དད་པ+བཅོལ_ད་ལྟ་བ།_ཐ་དད་པ+འཆོལ_ད་ལྟ་བ།_###+འཆོལ_ད་ལྟ་བ།_ཐ་དད་པ+བཅོལ_སྐུལ་ཚིག_ཐ་དད་པ
འཆོས | འཆའ_སྐུལ་ཚིག_###+བཅོས_ད་ལྟ་བ།_ཐ་དད་པ+བཅོས_ད་ལྟ་བ།_###+འཆོས_འདས་པ།_###+འཆོས_སྐུལ་ཚིག_###+འཆོས_ད་ལྟ་བ།_###+བཅོ_ད་ལྟ་བ།_ཐ་དད་པ+འཆོས_ད་ལྟ་བ།_ཐ་དད་པ+འཆའ_འདས་པ།_###+ཆོས_ད་ལྟ་བ།_ཐ་དད་པ
འཇག | བཅག_ད་ལྟ་བ།_###+ཆོག_ད་ལྟ་བ།_###+འཇག_ད་ལྟ་བ།_ཐ་དད་པ+གཅག_ད་ལྟ་བ།_ཐ་མི་དད་པ
འཇགས | གཅག_དལྟབ_འབྲི་ཚུལ+བྱ་ཚིག_ཐ་མི་དད་པ
འཇངས | འཇོངས_འདས་པ།_ཐ་དད་པ+འཇོང_འདས་པ།_ཐ་དད་པ
འཇབ | འཇབ_ད་ལྟ་བ།_ཐ་དད་པ+འཇབས_མ་འོངས་པ།_ཐ་དད་པ+འཇབས_ད་ལྟ་བ།_ཐ་དད་པ+འཇོབ_ད་ལྟ་བ།_ཐ་དད་པ+བཞབ_ད་ལྟ་བ།_###
འཇབས | འཇབས_འདས་པ།_ཐ་དད་པ
འཇའ | འཇས_མ་འོངས་པ།_ཐ་མི་དད་པ+འཇས_ད་ལྟ་བ།_ཐ་མི་དད་པ
འཇར | གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ+བྱ་ཚིག_###
འཇལ | འཇལ_ད་ལྟ་བ།_###+གཞལ_ད་ལྟ་བ།_ཐ་དད་པ+བཅལ_ད་ལྟ་བ།_ཐ་དད་པ+འཇོལ_ད་ལྟ་བ།_ཐ་དད་པ+འཇལ_ད་ལྟ་བ།_ཐ་དད་པ
འཇས | འཇས_འདས་པ།_ཐ་མི་དད་པ
འཇིག | ཞིག_ད་ལྟ་བ།_ཐ་མི་དད་པ+འཇིག_ད་ལྟ་བ།_ཐ་མི་དད་པ+འཇིག_ད་ལྟ་བ།_ཐ་དད་པ+འཇིག_མ་འོངས་པ།_ཐ་མི་དད་པ+ཤིག_ད་ལྟ་བ།_###+བཤིག_ད་ལྟ་བ།_###+ཞིག_ད་ལྟ་བ།_ཐ་དད་པ+ཞིག_མ་འོངས་པ།_ཐ་མི་དད་པ
འཇིགས | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
འཇིབ | གཞིལ_ད་ལྟ་བ།_ཐ་དད་པ+འཇིབ_ད་ལྟ་བ།_ཐ་དད་པ+བཞིབ_ད་ལྟ་བ།_ཐ་དད་པ+འཇིབས_ད་ལྟ་བ།_ཐ་དད་པ+བཞིབ_སྐུལ་ཚིག_ཐ་དད་པ
འཇིབས | འཇིབ_སྐུལ་ཚིག_ཐ་དད་པ+འཇིབས_སྐུལ་ཚིག_ཐ་དད་པ
འཇིལ | ཆིལ_ད་ལྟ་བ།_ཐ་དད་པ+བཅིལ_ད་ལྟ་བ།_ཐ་དད་པ+འཇིལ_ད་ལྟ་བ།_ཐ་དད་པ
འཇུ | འཇུ_ད་ལྟ་བ།_ཐ་མི་དད་པ+འཇུ_མ་འོངས་པ།_ཐ་མི་དད་པ+འཇུ_ད་ལྟ་བ།_ཐ་དད་པ+འཇུ_མ་འོངས་པ།_ཐ་དད་པ+འཇུ_ད་ལྟ་བ།_###+འཇུས_ད་ལྟ་བ།_ཐ་དད་པ+འཇུས_མ་འོངས་པ།_ཐ་དད་པ
འཇུག | འཇུག_ད་ལྟ་བ།_ཐ་དད་པ+འཇུག_ད་ལྟ་བ།_ཐ་མི་དད་པ+བཅུག_ད་ལྟ་བ།_ཐ་དད་པ+འཇུག_མ་འོངས་པ།_ཐ་མི་དད་པ+ཞུགས_མ་འོངས་པ།_###+ཞུགས_ད་ལྟ་བ།_###+ཆུག_ད་ལྟ་བ།_ཐ་དད་པ
འཇུན | བཅུན_ད་ལྟ་བ།_ཐ་དད་པ+ཆུན_ད་ལྟ་བ།_ཐ་དད་པ+བྱ་ཚིག_###+འཇུན_ད་ལྟ་བ།_ཐ་དད་པ
འཇུམ | བཅུམས_ད་ལྟ་བ།_ཐ་མི་དད་པ+ཆུམ_ད་ལྟ་བ།_ཐ་དད་པ+བཅུམས_ད་ལྟ་བ།_ཐ་དད་པ+འཇུམ_ད་ལྟ་བ།_ཐ་དད་པ+བཅུམ_ད་ལྟ་བ།_ཐ་དད་པ+འཇུམ_ད་ལྟ་བ།_ཐ་མི་དད་པ+བཅུམ_ད་ལྟ་བ།_ཐ་མི་དད་པ
འཇུར | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ+གཅུར_ད་ལྟ་བ།_ཐ་དད་པ+བཅུར_ད་ལྟ་བ།_ཐ་དད་པ+ཆུར_ད་ལྟ་བ།_ཐ་དད་པ+འཇུར_ད་ལྟ་བ།_ཐ་དད་པ+འཇུར_ད་ལྟ་བ།_###+བྱ་ཚིག_###
འཇུས | འཇུ_སྐུལ་ཚིག_ཐ་དད་པ+འཇུས_འདས་པ།_ཐ་དད་པ+འཇུས_སྐུལ་ཚིག_ཐ་དད་པ+འཇུ_འདས་པ།_ཐ་དད་པ
འཇོ | བཞོས_ད་ལྟ་བ།_ཐ་དད་པ+བཞོ_ད་ལྟ་བ།_ཐ་དད་པ+གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ+འཇོ_ད་ལྟ་བ།_ཐ་དད་པ+ཞོས_ད་ལྟ་བ།_ཐ་དད་པ
འཇོག | འཇོག_ད་ལྟ་བ།_ཐ་དད་པ+བཞག_ད་ལྟ་བ།_ཐ་དད་པ+འཇོག_ད་ལྟ་བ།_###+ཞོག_ད་ལྟ་བ།_ཐ་དད་པ+གཞག_ད་ལྟ་བ།_ཐ་དད་པ
འཇོང | འཇོང_མ་འོངས་པ།_ཐ་དད་པ+འཇོང_ད་ལྟ་བ།_ཐ་དད་པ+འཇོངས_ད་ལྟ་བ།_ཐ་དད་པ+འཇོངས_མ་འོངས་པ།_ཐ་དད་པ
འཇོངས | འཇོང_སྐུལ་ཚིག_ཐ་དད་པ+འཇོངས_སྐུལ་ཚིག_ཐ་དད་པ
འཇོབ | འཇོབ_སྐུལ་ཚིག_ཐ་དད་པ+བཞབ_སྐུལ་ཚིག_###+འཇབ_སྐུལ་ཚིག_ཐ་དད་པ
འཇོབས | འཇབས_སྐུལ་ཚིག_ཐ་དད་པ
འཇོམས | གཞོམ_ད་ལྟ་བ།_ཐ་དད་པ+འཇོམས_ད་ལྟ་བ།_ཐ་དད་པ+བཅོམ_ད་ལྟ་བ།_ཐ་དད་པ
འཇོལ | འཇོལ_སྐུལ་ཚིག_ཐ་དད་པ+བཅལ_སྐུལ་ཚིག_ཐ་དད་པ+བྱ་ཚིག_ཐ་མི་དད་པ+འཇལ_སྐུལ་ཚིག_ཐ་དད་པ+འཇལ_སྐུལ་ཚིག_###+གཞལ_སྐུལ་ཚིག_ཐ་དད་པ
འཇོས | འཇོ_སྐུལཚིག_འབྲི་ཚུལ
འཐག | འཐག_ད་ལྟ་བ།_###+འཐག_ད་ལྟ་བ།_ཐ་དད་པ+ཐག_མ་འོངས་པ།_ཐ་མི་དད་པ+བཏགས_ད་ལྟ་བ།_ཐ་དད་པ+འཐོགས_ད་ལྟ་བ།_###+ཐག_ད་ལྟ་བ།_ཐ་མི་དད་པ+འཐག_མ་འོངས་པ།_ཐ་མི་དད་པ+འཐག_ད་ལྟ་བ།_ཐ་མི་དད་པ+བཏག_ད་ལྟ་བ།_ཐ་དད་པ
འཐད | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ+བྱ་ཚིག_###
འཐབ | འཐབ_མ་འོངས་པ།_###+འཐོབས_ད་ལྟ་བ།_ཐ་དད་པ+འཐོབས_མ་འོངས་པ།_ཐ་དད་པ+འཐབ_ད་ལྟ་བ།_ཐ་དད་པ+འཐབས_ད་ལྟ་བ།_ཐ་དད་པ+འཐབ_མ་འོངས་པ།_ཐ་དད་པ+འཐབས_མ་འོངས་པ།_ཐ་དད་པ+འཐབ_ད་ལྟ་བ།_###
འཐབས | འཐབ_འདས་པ།_###+འཐོབས_འདས་པ།_ཐ་དད་པ+འཐབ_འདས་པ།_ཐ་དད་པ+འཐབས_འདས་པ།_ཐ་དད་པ
འཐམ | འཐམ_མ་འོངས་པ།_ཐ་དད་པ+འཐོམས_ད་ལྟ་བ།_ཐ་དད་པ+འཐམ_ད་ལྟ་བ།_ཐ་དད་པ+འཐམས_མ་འོངས་པ།_ཐ་དད་པ+འཐམ_མ་འོངས་པ།_ཐ་མི་དད་པ+འཐམས_མ་འོངས་པ།_ཐ་མི་དད་པ+འཐོམས_མ་འོངས་པ།_ཐ་དད་པ
འཐམས | འཐམ_ད་ལྟ་བ།_ཐ་མི་དད་པ+འཐམས_འདས་པ།_ཐ་མི་དད་པ+འཐམ_འདས་པ།_ཐ་དད་པ+འཐམ_འདས་པ།_ཐ་མི་དད་པ+འཐམས_འདས་པ།_ཐ་དད་པ+འཐམས_ད་ལྟ་བ།_ཐ་མི་དད་པ+འཐམས_ད་ལྟ་བ།_ཐ་དད་པ+འཐོམས_འདས་པ།_ཐ་དད་པ
འཐས | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
འཐིག | འཐིག_ད་ལྟ་བ།_ཐ་མི་དད་པ+འཐིག_མ་འོངས་པ།_ཐ་མི་དད་པ
འཐིགས | འཐིག_འདས་པ།_ཐ་མི་དད་པ
འཐིབ | འཐིབས_མ་འོངས་པ།_ཐ་མི་དད་པ+འཐིབ_ད་ལྟ་བ།_ཐ་མི་དད་པ+འཐིབ_མ་འོངས་པ།_ཐ་མི་དད་པ+འཐིབས_ད་ལྟ་བ།_ཐ་མི་དད་པ
འཐིབས | འཐིབས_འདས་པ།_ཐ་མི་དད་པ+འཐིབ_འདས་པ།_ཐ་མི་དད་པ
འཐིམ | འཐིམ_ད་ལྟ་བ།_ཐ་མི་དད་པ+འཐིམ_མ་འོངས་པ།_ཐ་མི་དད་པ
འཐུ | འཐུ_ད་ལྟ་བ།_ཐ་དད་པ+བཏུས_ད་ལྟ་བ།_ཐ་དད་པ+བཏུ_ད་ལྟ་བ།_ཐ་དད་པ+ཐུས_ད་ལྟ་བ།_ཐ་དད་པ+འཐུས_ད་ལྟ་བ།_ཐ་དད་པ
འཐུང | འཐུང_ད་ལྟ་བ།_ཐ་དད་པ+བཏུང_ད་ལྟ་བ།_ཐ་དད་པ+འཐུངས_ད་ལྟ་བ།_ཐ་དད་པ+བཏུངས_ད་ལྟ་བ།_ཐ་དད་པ
འཐུངས | བཏུངས_སྐུལ་ཚིག_ཐ་དད་པ+འཐུངས_སྐུལ་ཚིག_ཐ་དད་པ+བཏུང_སྐུལ་ཚིག_ཐ་དད་པ+འཐུང_སྐུལ་ཚིག_ཐ་དད་པ
འཐུད | གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ+མཐུད_འབྲི་ཚུལ
འཐུམ | འཐུམ_ད་ལྟ་བ།_ཐ་དད་པ+གཏུམ_ད་ལྟ་བ།_ཐ་དད་པ+ཐུམ_ད་ལྟ་བ།_ཐ་དད་པ+བཏུམ_ད་ལྟ་བ།_ཐ་དད་པ
འཐུལ | ཐུལ_ད་ལྟ་བ།_###+བཏུལ_ད་ལྟ་བ།_###+གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ+བྱ་ཚིག_###+ཐུལ_མ་འོངས་པ།_###
འཐུས | འཐུས_སྐུལ་ཚིག_ཐ་དད་པ
འཐེང | འཐེང_ད་ལྟ་བ།_ཐ་མི་དད་པ+འཐེང_མ་འོངས་པ།_ཐ་མི་དད་པ+འཐེངས_ད་ལྟ་བ།_ཐ་མི་དད་པ+འཐེངས_མ་འོངས་པ།_ཐ་མི་དད་པ
འཐེངས | འཐེང_འདས་པ།_ཐ་མི་དད་པ+འཐེངས_འདས་པ།_ཐ་མི་དད་པ
འཐེན | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ+བྱ་ཚིག_###
འཐེབ | འཐེབས_མ་འོངས་པ།_ཐ་མི་དད་པ+འཐེབ_ད་ལྟ་བ།_ཐ་མི་དད་པ+འཐེབ_མ་འོངས་པ།_ཐ་མི་དད་པ+འཐེབས_ད་ལྟ་བ།_ཐ་མི་དད་པ
འཐེབས | འཐེབས_འདས་པ།_ཐ་མི་དད་པ+འཐེབ_འདས་པ།_ཐ་མི་དད་པ
འཐེམ | འཐེམ_ད་ལྟ་བ།_ཐ་མི་དད་པ+འཐེམ_མ་འོངས་པ།_ཐ་མི་དད་པ+བྱ་ཚིག_###
འཐོག | འཐོག_ད་ལྟ་བ།_ཐ་མི་དད་པ+འཐོགས_ད་ལྟ་བ།_ཐ་དད་པ+འཐོག_ད་ལྟ་བ།_ཐ་དད་པ+འཐོག_མ་འོངས་པ།_ཐ་མི་དད་པ+འཐོག_ད་ལྟ་བ།_###+བཏོགས_ད་ལྟ་བ།_ཐ་དད་པ+འཐོག_མ་འོངས་པ།_###+བཏོག_ད་ལྟ་བ།_ཐ་དད་པ
འཐོགས | བཏག_སྐུལ་ཚིག_ཐ་དད་པ+བཏོག_སྐུལ་ཚིག_ཐ་དད་པ+བཏགས_སྐུལ་ཚིག_ཐ་དད་པ+འཐོགས_སྐུལ་ཚིག_ཐ་དད་པ+འཐག_སྐུལ་ཚིག_ཐ་དད་པ+འཐོགས_སྐུལ་ཚིག_###+བཏོགས_སྐུལ་ཚིག_ཐ་དད་པ+འཐོག_སྐུལ་ཚིག_###+འཐག_སྐུལ་ཚིག_###+འཐོག_སྐུལ་ཚིག_ཐ་དད་པ
འཐོན | ཐོན_ད་ལྟ་བ།_ཐ་མི་དད་པ+ཐོན_མ་འོངས་པ།_ཐ་མི་དད་པ+འཐོན_མ་འོངས་པ།_ཐ་མི་དད་པ+འཐོན_ད་ལྟ་བ།_ཐ་མི་དད་པ
འཐོབ | འཐོབ_མ་འོངས་པ།_ཐ་མི་དད་པ+ཐོབ_ད་ལྟ་བ།_ཐ་མི་དད་པ+ཐོབ_མ་འོངས་པ།_ཐ་མི་དད་པ+འཐོབ_ད་ལྟ་བ།_ཐ་མི་དད་པ
འཐོབས | འཐབས_སྐུལ་ཚིག_ཐ་དད་པ+འཐབ_སྐུལ་ཚིག_ཐ་དད་པ+འཐོབས_སྐུལ་ཚིག_ཐ་དད་པ+འཐབ_སྐུལ་ཚིག_###
འཐོམ | འཐོམས_མ་འོངས་པ།_ཐ་མི་དད་པ+འཐོམས_ད་ལྟ་བ།_ཐ་མི་དད་པ+འཐོམ_ད་ལྟ་བ།_ཐ་དད་པ+འཐོམ_མ་འོངས་པ།_ཐ་དད་པ
འཐོམས | འཐོམས_སྐུལ་ཚིག_ཐ་དད་པ+འཐམ_སྐུལ་ཚིག_ཐ་དད་པ+འཐོམ_འདས་པ།_ཐ་དད་པ+འཐོམས_འདས་པ།_ཐ་མི་དད་པ+འཐམས_སྐུལ་ཚིག_ཐ་དད་པ
འཐོར | འཐོར_ད་ལྟ་བ།_ཐ་མི་དད་པ+འཐོར_མ་འོངས་པ།_ཐ་མི་དད་པ
འཐོལ | བྱ་ཚིག_ཐ་དད་པ+མཐོལ_འབྲི་ཚུལ
འདག | དག_མ་འོངས་པ།_ཐ་མི་དད་པ+དག_ད་ལྟ་བ།_ཐ་མི་དད་པ+འདག_ད་ལྟ་བ།_ཐ་མི་དད་པ+འདག_མ་འོངས་པ།_ཐ་མི་དད་པ
འདང | འདང_མ་འོངས་པ།_ཐ་མི་དད་པ+འདངས_མ་འོངས་པ།_ཐ་མི་དད་པ+འདང_ད་ལྟ་བ།_ཐ་མི་དད་པ+འདངས_ད་ལྟ་བ།_ཐ་མི་དད་པ
འདངས | འདངས_འདས་པ།_ཐ་མི་དད་པ+འདང_འདས་པ།_ཐ་མི་དད་པ
འདམ | འདམ_ད་ལྟ་བ།_ཐ་དད་པ
འདའ | འདོས_མ་འོངས་པ།_ཐ་མི་དད་པ+འདའ_མ་འོངས་པ།_###+འདོས_ད་ལྟ་བ།_ཐ་མི་དད་པ+འདའ_ད་ལྟ་བ།_###+འདའ_མ་འོངས་པ།_ཐ་མི་དད་པ+འདས_ད་ལྟ་བ།_ཐ་མི་དད་པ+འདས_མ་འོངས་པ།_ཐ་མི་དད་པ+འདའ_ད་ལྟ་བ།_ཐ་མི་དད་པ
འདར | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
འདལ | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
འདས | འདོས_འདས་པ།_ཐ་མི་དད་པ+འདའ_འདས་པ།_ཐ་མི་དད་པ+འདའ_འདས་པ།_###+འདས_འདས་པ།_ཐ་མི་དད་པ
འདིང | གདིང_ད་ལྟ་བ།_ཐ་དད་པ+བཏིངས_ད་ལྟ་བ།_ཐ་དད་པ+ཐོང_ད་ལྟ་བ།_###
འདུ | འདུ_མ་འོངས་པ།_ཐ་མི་དད་པ+འདུ_ད་ལྟ་བ།_ཐ་མི་དད་པ+འདུ_མ་འོངས་པ།_###+འདུ_ད་ལྟ་བ།_###+འདུས_མ་འོངས་པ།_ཐ་དད་པ+འདུས_ད་ལྟ་བ།_ཐ་དད་པ
འདུག | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
འདུད | གདུད_ད་ལྟ་བ།_ཐ་དད་པ+ཐུད_ད་ལྟ་བ།_ཐ་དད་པ+འདུད_ད་ལྟ་བ།_ཐ་དད་པ+བཏུད_ད་ལྟ་བ།_ཐ་དད་པ
འདུམ | འདུམ_ད་ལྟ་བ།_ཐ་མི་དད་པ+འདུམས_མ་འོངས་པ།_ཐ་མི་དད་པ+འདུམ_མ་འོངས་པ།_ཐ་མི་དད་པ+འདུམས_ད་ལྟ་བ།_ཐ་མི་དད་པ
འདུམས | འདུམ_འདས་པ།_ཐ་མི་དད་པ+འདུམས_འདས་པ།_ཐ་མི་དད་པ
འདུར | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ+བྱ་ཚིག_###
འདུལ | གདུལ_ད་ལྟ་བ།_ཐ་དད་པ+འདུལ_ད་ལྟ་བ།_ཐ་དད་པ+བཏུལ_ད་ལྟ་བ།_ཐ་དད་པ+ཐུལ_ད་ལྟ་བ།_ཐ་དད་པ+འདུལ_ད་ལྟ་བ།_###
འདུས | འདུ_འདས་པ།_ཐ་མི་དད་པ+འདུ_འདས་པ།_###+འདུས_འདས་པ།_ཐ་དད་པ
འདེགས | གདེག_ད་ལྟ་བ།_ཐ་དད་པ+འདེགས_ད་ལྟ་བ།_ཐ་དད་པ+བཏེག_ད་ལྟ་བ།_ཐ་དད་པ
འདེད | འདེད_མ་འོངས་པ།_###+འདེད_ད་ལྟ་བ།_###+འདེད_མ་འོངས་པ།_ཐ་དད་པ+བདའ_ད་ལྟ་བ།_ཐ་དད་པ+དེད_མ་འོངས་པ།_###+བདས_ད་ལྟ་བ།_ཐ་དད་པ+དེད_ད་ལྟ་བ།_ཐ་དད་པ+དེད_ད་ལྟ་བ།_###+འདེད_ད་ལྟ་བ།_ཐ་དད་པ
འདེབས | གདབ_ད་ལྟ་བ།_ཐ་དད་པ+འདེབས_ད་ལྟ་བ།_ཐ་དད་པ+ཐོབ_ད་ལྟ་བ།_###+འདེབས_ད་ལྟ་བ།_###+བཏབ_ད་ལྟ་བ།_ཐ་དད་པ
འདེམ | འདེམ_ད་ལྟ་བ།_ཐ་དད་པ+འདོམ_ད་ལྟ་བ།_ཐ་དད་པ+གདམ_ད་ལྟ་བ།_ཐ་དད་པ+བདམ_ད་ལྟ་བ།_ཐ་དད་པ
འདོག | བཏག_ད་ལྟ་བ།_###+འདོག_ད་ལྟ་བ།_ཐ་དད་པ
